Case 1   คีย์ Amount,,,,,,,,,,,Case 1-1  คีย์ Net Amount (back),,,,,,,,,,,,
No.,Item code,QTY, Unit Price , Gross Price , Amount , VAT , CM-VAT , Net Amount , CM-Net Amount ,,No.,Item code,QTY, Unit Price , Gross Price , Amount , VAT , CM-VAT , Net Amount , CM-Net Amount ,,,
4,B004,12," 1,093.05 "," 1,169.56 "," 13,116.60 ", 918.16 ,918.1600," 14,034.76 ","14,034.7600",,,,,,,,,,,,,,
5,B005,7, 727.20 , 778.10 ," 5,090.40 ", 356.33 ,356.3300," 5,446.73 ","5,446.7300",,,,,,,,,,,,,,
6,B006,1, 184.95 , 197.90 , 184.95 , 12.95 ,12.9500, 197.90 ,197.9000,,,,,,,,,,,,,,
7,B007,6, 650.00 , 695.50 ," 3,900.00 ", 273.00 ,273.0000," 4,173.00 ","4,173.0000",,,,,,,,,,,,,,
8,B008,1, 650.00 , 695.50 , 650.00 , 45.50 ,45.5000, 695.50 ,695.5000,,,,,,,,,,,,,,
9,B009,1, 218.25 , 233.53 , 218.25 , 15.28 ,15.2800, 233.53 ,233.5300,,,,,,,,,,,,,,
10,B010,1, 357.30 , 382.31 , 357.30 , 25.01 ,25.0100, 382.31 ,382.3100,,,,,,,,,,,,,,
11,B011,7, 832.50 , 890.78 ," 5,827.50 ", 407.93 ,407.9300," 6,235.43 ","6,235.4300",,,,,,,,,,,,,,
12,B012,10," 1,240.65 "," 1,327.50 "," 12,406.50 ", 868.46 ,868.4600," 13,274.96 ","13,274.9600",,,,,,,,,,,,,,
13,B013,2," 1,248.75 "," 1,336.16 "," 2,497.50 ", 174.83 ,174.8300," 2,672.33 ","2,672.3300",,,,,,,,,,,,,,
14,B014,108, 147.15 , 157.45 ," 15,892.20 "," 1,112.45 ",1112.4500," 17,004.65 ","17,004.6500",,,,,,,,,,,,,,
15,B015,13, 134.55 , 143.97 ," 1,749.15 ", 122.44 ,122.4400," 1,871.59 ","1,871.5900",,,,,,,,,,,,,,
16,B016,15, 134.55 , 143.97 ," 2,018.25 ", 141.28 ,141.2800," 2,159.53 ","2,159.5300",,,,,,,,,,,,,,
Total Doc,,,,," 119,453.95 "," 8,361.78 "," 8,361.79 "," 127,815.73 "," 127,815.74 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Case 3,,,,,,,,,,,,,,,,,,,,,,,
No.,Item code,QTY, Unit Price , Gross Price , Amount , VAT , CM-VAT , Net Amount , CM-Net Amount ,,,,,,,,,,,,,,
1,C001,1,"1,248.75","1,336.16","1,248.75",87.4125,87.4100,"1,336.16","1,336.16",,,,,,,,,,,,,,
2,C002,8,167.85,179.60,"1,342.80",93.9960,94.0000,"1,436.80","1,436.80",,,,,,,,,,,,,,
3,C003,1,155.25,166.12,155.25,10.8675,10.8700,166.12,166.12,,,,,,,,,,,,,,
4,C004,1,"1,248.75","1,336.16","1,248.75",87.4125,87.4100,"1,336.16","1,336.16",,,,,,,,,,,,,,
5,C005,8,167.85,179.60,"1,342.80",93.9960,94.0000,"1,436.80","1,436.80",,,,,,,,,,,,,,
6,C006,1,155.25,166.12,155.25,10.8675,10.8700,166.12,166.12,,,,,,,,,,,,,,
7,C007,1,"1,248.75","1,336.16","1,248.75",87.4125,87.4100,"1,336.16","1,336.16",,,,,,,,,,,,,,
8,C008,8,167.85,179.60,"1,342.80",93.9960,94.0000,"1,436.80","1,436.80",,,,,,,,,,,,,,
9,C009,1,155.25,166.12,155.25,10.8675,10.8700,166.12,166.12,,,,,,,,,,,,,,
10,C010,1,"1,248.75","1,336.16","1,248.75",87.4125,87.4100,"1,336.16","1,336.16",,,,,,,,,,,,,,
11,C011,8,167.85,179.60,"1,342.80",93.9960,94.0000,"1,436.80","1,436.80",,,,,,,,,,,,,,
12,C012,1,155.25,166.12,155.25,10.8675,10.8700,166.12,166.12,,,,,,,,,,,,,,
13,C013,1,"1,248.75","1,336.16","1,248.75",87.4125,87.4100,"1,336.16","1,336.16",,,,,,,,,,,,,,
14,C014,4,167.85,179.60,671.40,46.9980,47.0000,718.40,718.40,,,,,,,,,,,,,,
15,C015,1,155.25,166.12,155.25,10.8675,10.8700,166.12,166.12,,,,,,,,,,,,,,
16,C016,1,"1,248.75","1,336.16","1,248.75",87.4125,87.4100,"1,336.16","1,336.16",,,,,,,,,,,,,,
17,C017,4,167.85,179.60,671.40,46.9980,47.0000,718.40,718.40,,,,,,,,,,,,,,
18,C018,1,155.25,166.12,155.25,10.8675,10.8700,166.12,166.12,,,,,,,,,,,,,,
Total Doc,,,,,"15,138.00",1059.66," 1,059.68 ","16,197.66","16,197.68",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Case 4,,,,,,,,,,,,,,,,,,,,,,,
No.,Item code,QTY, Unit Price , Gross Price , Amount , VAT , CM-VAT , Net Amount , CM-Net Amount ,,,,,,,,,,,,,,
1,D1,3,495.33,530.00,1485.99,104.02,104.0200,1590.01,"1,590.01",,,,,,,,,,,,,,
2,D2,1,79.02,84.55,79.02,5.53,5.5300,84.55,84.55,,,,,,,,,,,,,,
3,D3,2,115.42,123.50,230.84,16.16,16.1600,247.00,247.00,,,,,,,,,,,,,,
4,D4,1,78.13,83.60,78.13,5.47,5.4700,83.60,83.60,,,,,,,,,,,,,,
5,D5,1,111.87,119.70,111.87,7.83,7.8300,119.70,119.70,,,,,,,,,,,,,,
6,D6,2,103.88,111.15,207.76,14.54,14.5400,222.30,222.30,,,,,,,,,,,,,,
7,D7,2,57.71,61.75,115.42,8.08,8.0800,123.50,123.50,,,,,,,,,,,,,,
8,D8,1,506.07,541.49,506.07,35.42,35.4200,541.49,541.49,,,,,,,,,,,,,,
9,D9,1,49.72,53.20,49.72,3.48,3.4800,53.20,53.20,,,,,,,,,,,,,,
10,D10,3,49.72,53.20,149.16,10.44,10.4400,159.60,159.60,,,,,,,,,,,,,,
11,D11,1,49.72,53.20,49.72,3.48,3.4800,53.20,53.20,,,,,,,,,,,,,,
12,D12,1,443.04,474.05,443.04,31.01,31.0100,474.05,474.05,,,,,,,,,,,,,,
13,D13,3,184.67,197.60,554.01,38.78,38.7800,592.79,592.79,,,,,,,,,,,,,,
14,D14,3,97.66,104.50,292.98,20.51,20.5100,313.49,313.49,,,,,,,,,,,,,,
15,D15,1,843.46,902.50,843.46,59.04,59.0400,902.50,902.50,,,,,,,,,,,,,,
16,D16,1,139.25,149.00,139.25,9.75,9.7500,149.00,149.00,,,,,,,,,,,,,,
Total Doc,,,,," 5,336.44 ", 373.55 , 373.54 ," 5,709.99 "," 5,709.98 ",,,,,,,,,,,,,,
